state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(EPI_ISL_19216501|A/northern_fulmar/Greenland/08238-1.01/2023|H5N5|North_America|2023|wild_avian|A6)	age(EPI_ISL_19776983|A/bald_eagle/USA/005188-001/2025|H5N5|North_America|2025|wild_avian|A6)	age(EPI_ISL_19216500|A/glaucous_gull/Greenland/08236-1.02/2023|H5N5|North_America|2023|wild_avian|A6)	treeLikelihood	branchRates	coalescent
723900000	-50179.832924332346	-5645.940421622727	-44533.89250270962	5.126446180618069	2020.9256086139023	102.27316865253701	4.2889780872711185	9.073981516011692	0.3319029575774986	0.1947299772337283	0.24088587437181766	0.23248119081694904	0.23288625516682662	0.002827819564229206	0.0032382184961061047	0.0021698166333347533	1.0107832743034382	0.06049246009178838	2.4771908603724375	1.0082688663767465	2.3347262804201945	-44533.89250270962	-4752.222150280621	-895.9441695978867
724200000	-50206.14657261121	-5648.438319263249	-44557.70825334796	5.729511270705471	2020.322543523815	101.92607238721338	4.72292771426886	9.327843251016212	0.33357445337552527	0.19327819971731586	0.24200872164323206	0.2311386252639204	0.206934079091512	0.002784971856990687	0.00288424841193984	0.002237683583121915	0.9325358656622588	-0.005054476569679845	2.289467495339507	0.9957075677442977	2.090811871739618	-44557.70825334796	-4752.222150280621	-898.3608131778944
724500000	-50257.80087449397	-5677.490614451999	-44580.31026004197	5.316928957734208	2020.7351258367862	107.42021573019628	5.076595007234405	9.944804924502051	0.3316806328137278	0.19904363700947086	0.23802819385990054	0.23124753631689487	0.2784606926846252	0.0026169490454580947	0.0024847369835497594	0.002042718436947372	0.8898446373715378	0.02207662014102523	2.3958935109443718	0.9489309712471841	2.0666617391392723	-44580.31026004197	-4752.222150280621	-927.1432548241678
724800000	-50304.96333118762	-5726.075818302839	-44578.88751288478	5.667199865541019	2020.3848549289794	117.42854206334223	5.305643676786806	9.333663905965125	0.3336087794696347	0.19592038931949537	0.23834064370137878	0.23213018750948522	0.23053304545424932	0.0023564155283104576	0.0023515749531375055	0.0019160388664238547	0.9751885155092339	-0.014681898988535709	2.2372394586110356	1.007986164994957	2.141588109587363	-44578.88751288478	-4752.222150280621	-975.9967438778529
725100000	-50251.61788411743	-5705.746026204111	-44545.87185791332	5.304942240146961	2020.7471125543734	113.69336536754547	5.044601328547563	9.392584083742975	0.3321778653931913	0.1918054038476091	0.2403373099828342	0.2356794207763593	0.22470116874057425	0.002421238662550075	0.0022835412168094077	0.0020283326376330274	0.9999375816441085	0.013798205227717257	2.317223695090329	1.0411215518456667	2.106812982243909	-44545.87185791332	-4752.222150280621	-955.6896986879804
725400000	-50307.49879194475	-5738.391238977017	-44569.10755296773	5.845627170866898	2020.2064276236536	121.0524591739742	6.167716703699958	7.878907108105471	0.3247537889024863	0.19526095611456998	0.24478907652402415	0.2351961784589134	0.23640823774038305	0.002390787237599001	0.0022930430851398603	0.0019234481606742082	0.9196593141245883	-0.019770177768884116	2.418455088733205	1.0374917989531838	2.117631785239691	-44569.10755296773	-4752.222150280621	-988.4393151388211
725700000	-50247.676114846705	-5700.1223689731105	-44547.55374587359	6.620927626908921	2019.4311271676115	115.23901095703698	4.837228131886647	9.110202338707872	0.3323220334763725	0.19893137324437712	0.23695019158815506	0.23179640169108895	0.27548788399890123	0.0024326601230894983	0.0024427967460904612	0.0019958128900324566	1.0211252942870603	0.05008184073866447	2.359203495661886	1.012122035232505	2.5377485588798323	-44547.55374587359	-4752.222150280621	-950.0597578996075
726000000	-50316.203574958294	-5735.770366706202	-44580.43320825209	5.551432604285872	2020.5006221902347	117.27699152772323	5.754621061467314	8.769453808235555	0.3304041537003754	0.19455906346603263	0.23796795886771996	0.23706882396586576	0.21115624509210293	0.002431494500345488	0.002356350355408821	0.0019400309666744986	0.9921583851523436	0.04018757377028571	2.507323628180636	0.9737082160440749	2.116461278829511	-44580.43320825209	-4752.222150280621	-985.7343617195227
726300000	-50233.67237481687	-5687.353092902827	-44546.319281914046	5.730930583178889	2020.3211242113416	110.48332086019553	4.920224403252323	8.715542772861353	0.3293870027908914	0.20045812635965754	0.2407998845719448	0.22935498627749953	0.24649769866963925	0.0028631760673358546	0.0034115977698419234	0.0020491843216276597	1.1931112499606744	0.0026623279522923174	2.2464478440420543	1.0312439196226673	2.4881836965829702	-44546.319281914046	-4752.222150280621	-937.2679407107652
726600000	-50280.577775105565	-5729.591482291019	-44550.986292814545	5.214016747050342	2020.83803804747	115.1641683156417	5.759283557308383	8.735016529515168	0.3291695150683589	0.1978157738078093	0.2441895019594456	0.2288252091643795	0.23702883575667083	0.002521874656383571	0.0022381228218576266	0.0020085584674891725	0.8687959460697154	-0.0032146413287890484	2.334387455073448	0.9749359769192987	2.1740566340813343	-44550.986292814545	-4752.222150280621	-979.4775467318794
