state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(EPI_ISL_19216501|A/northern_fulmar/Greenland/08238-1.01/2023|H5N5|North_America|2023|wild_avian|A6)	age(EPI_ISL_19776983|A/bald_eagle/USA/005188-001/2025|H5N5|North_America|2025|wild_avian|A6)	age(EPI_ISL_19216500|A/glaucous_gull/Greenland/08236-1.02/2023|H5N5|North_America|2023|wild_avian|A6)	treeLikelihood	branchRates	coalescent
9000000	-50289.70918822588	-5776.73808165097	-44512.971106574914	4.895903518437798	2021.1561512760827	122.1346074661224	19.806268077534515	0.5489354236042595	8.553809530953473	0.32865860167610106	0.19518182240021983	0.24397472135361803	0.2321848545700541	0.21584241206057206	0.0022206029441040674	0.0022575114320392098	0.0018188359287705366	0.9287338636520881	0.03232118011784354	2.345292304265487	1.0375723282840694	2.0827822015102546	-44512.971106574914	-4752.222150280621	-1024.3378883161001
9300000	-50234.26409780863	-5720.397315992749	-44513.86678181588	5.521474170521531	2020.530580623999	113.95458952675422	9.884967758743926	0.33713090664801504	9.230731792673536	0.3306075049654393	0.20020699863514105	0.23765228682719944	0.23153320957221368	0.23453538259658405	0.0027697328946732352	0.003082957220328813	0.0020880002236765183	1.0081045708508007	0.04260625059253196	2.3410693695239573	0.8516716809341179	2.105279535020828	-44513.86678181588	-4752.222150280621	-968.5405928215021
9600000	-50284.941580623265	-5755.931788717193	-44529.00979190607	5.090532859845285	2020.9615219346751	117.65510708419625	18.1154631595619	0.6006574980439179	8.414860780927976	0.32555361306303326	0.19777725291938	0.24156476800305757	0.2351043660145225	0.2506723630963506	0.0023231035599718566	0.0022116726593191145	0.0019137258679763412	0.9174948596822915	0.060639957559520966	2.2794234843032863	0.974257025374166	2.081478608060472	-44529.00979190607	-4752.222150280621	-1003.4845326545766
9900000	-50302.32604379729	-5763.92116154516	-44538.404882252136	5.904680718973401	2020.147374075547	121.02795882918993	20.702639706237168	0.5787467176508593	9.33372680936078	0.33568706520757907	0.19831250776569445	0.23272402304550932	0.23327640398121066	0.22015640801771796	0.00215914172621923	0.0018636581008995498	0.0019203301804358115	0.7975756063514274	0.005870640691687906	2.0747717184224657	0.834821439871447	2.225248314444378	-44538.404882252136	-4752.222150280621	-1011.3051132028473
10200000	-50303.90732729956	-5756.194494915177	-44547.71283238438	5.572265718509335	2020.4797890760112	119.42646285332829	19.338876887401074	0.6520383269886721	9.301251325769092	0.3361747813286485	0.18989859534062584	0.23936620031986305	0.23456042301085595	0.2175792781400806	0.0023428392894261985	0.0023660886874653573	0.0018713082445395743	0.966100716185885	0.012048900888408053	2.1785454029427527	0.9828677088442672	2.1128651964902816	-44547.71283238438	-4752.222150280621	-1003.5172118542998
10500000	-50278.995448624424	-5760.146475491505	-44518.84897313292	5.777557599836036	2020.2744971946845	120.39702282055457	16.01855032868595	0.4728128410087103	8.867396975114241	0.33438001745945706	0.19895822691194437	0.23755139866681202	0.22911035696177995	0.23323732563879565	0.0024839132808477816	0.0024507951909396837	0.0019262012415114417	0.8604402811051293	0.0055590687268846795	2.408692446056001	0.9483063981331421	2.0753919833490446	-44518.84897313292	-4752.222150280621	-1007.8454148156508
10800000	-50233.8748367947	-5713.345095396806	-44520.52974139789	5.506323943948297	2020.5457308505722	111.85544600867085	13.53627360228947	0.46510342354506495	9.067012569859273	0.33356671698393414	0.1992593562750595	0.2351945300300802	0.23197939671091916	0.21703866492969495	0.002329498817890707	0.002242451321924838	0.0020305822571379346	1.0005385253334247	-0.0061648916232541874	2.451941220404535	0.9988209677346241	2.2916948938004675	-44520.52974139789	-4752.222150280621	-961.2476609199283
11100000	-50346.5630034029	-5767.9482972133965	-44578.6147061895	6.66741100810449	2019.384643786416	124.44787014511078	12.643064343199661	0.3583318704386672	8.697927971267179	0.32598812771166724	0.19917638650709432	0.23665025693764197	0.23818522884358986	0.23189940979784657	0.002025243606161701	0.0015785742061946001	0.0018104151267182066	0.7351816710751756	0.08523113399365512	2.3496899736401047	0.8317789102490438	2.5979246057006495	-44578.6147061895	-4752.222150280621	-1016.2030652478766
11400000	-50335.87802755015	-5788.971460050194	-44546.90656749995	5.403449814530555	2020.6486049799898	125.82307011253403	18.526421503691346	0.49451641045775807	9.11069592560549	0.3252279980546768	0.19620803703645404	0.23841130246239053	0.24015266244647201	0.23698002686866018	0.0021498132218262913	0.0017200042983499851	0.0018765703943574475	0.8035067675333767	0.056816286526192	2.2493662573727233	0.9582921484565561	2.35504155017028	-44546.90656749995	-4752.222150280621	-1036.5729949554054
11700000	-50319.6163219889	-5802.873795326122	-44516.742526662776	6.285802605117127	2019.7662521894033	130.3364439623076	12.94270252052819	0.31928142016633543	9.056531508731423	0.33306761342512303	0.19674650854621942	0.2401380617857162	0.23004781624293483	0.21891290640213754	0.0021381360552374137	0.0017924866152702382	0.0017366015745398792	0.8131504860128627	0.011596800720326945	2.357402568189053	0.9777438199965722	2.4453867111874383	-44516.742526662776	-4752.222150280621	-1051.0678783900578
